job_id,job_title,salary_usd,salary_currency,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,benefits_score,company_name,has_python,has_AWS,days_until_deadline,salary_bucket
AI03886,Robotics Engineer,337306,USD,FT,United States,L,United States,0,"Git, Tableau, PyTorch, SQL",PhD,19,Telecommunications,2024-04-16,2024-05-31,7.9,Ai Innovations,False,False,45,High
AI12598,Robotics Engineer,336616,USD,FT,Norway,L,Austria,50,"Scala, GCP, Deep Learning",Bachelor,18,Transportation,2024-10-21,2024-11-21,8.8,Ai Innovations,False,False,31,High
AI07806,Ai Product Manager,335166,USD,Part Time,Switzerland,M,Switzerland,50,"Linux, PyTorch, Kubernetes, Git",Associate,12,Real Estate,2024-09-19,2024-10-16,7.4,Ai Innovations,False,False,27,High
AI08764,Ai Consultant,325757,USD,FT,Denmark,M,Denmark,100,"Git, Hadoop, Computer Vision, GCP",PhD,13,Finance,2024-05-28,2024-07-27,9.7,Ai Innovations,False,False,60,High
AI07751,Head Of Ai,305915,USD,Contract,Switzerland,S,Netherlands,100,"Python, TensorFlow, Java, Hadoop",Master,12,Media,2024-08-13,2024-09-11,6.8,Ai Innovations,True,False,29,High
AI11604,Head Of Ai,303539,USD,Part Time,Norway,M,Norway,50,"Computer Vision, Azure, Deep Learning",PhD,17,Healthcare,2024-08-09,2024-08-24,9.5,Ai Innovations,False,False,15,High
AI02579,Research Scientist,303380,USD,FT,Singapore,L,Singapore,50,"Deep Learning, Python, R, Mathematics, GCP",PhD,17,Transportation,2024-03-11,2024-05-17,7.6,Ai Innovations,False,False,67,High
AI11387,Machine Learning Engineer,302962,EUR,Contract,Netherlands,L,Netherlands,0,"Kubernetes, Linux, Git",Associate,18,Automotive,2024-02-05,2024-02-21,7.3,Ai Innovations,False,False,16,High
AI05601,Ai Architect,292471,USD,Contract,United States,M,United States,100,"Docker, Kubernetes, Data Visualization",Bachelor,18,Finance,2024-09-10,2024-10-10,7.4,Ai Innovations,False,False,30,High
AI01222,Principal Data Scientist,289428,USD,Part Time,Denmark,S,Denmark,50,"AWS, Tableau, Scala, PyTorch, Computer Vision",PhD,18,Energy,2024-05-26,2024-07-29,7.3,Ai Innovations,False,True,64,High
AI14675,Ai Product Manager,287672,USD,Contract,Australia,L,Finland,50,"Tableau, SQL, GCP, Mathematics, MLOps",Bachelor,18,Media,2024-07-26,2024-08-23,5.4,Ai Innovations,False,False,28,High
AI12911,Machine Learning Engineer,287045,GBP,Part Time,United Kingdom,L,Canada,0,"AWS, NLP, PyTorch, MLOps",Associate,15,Gaming,2025-02-10,2025-03-24,9.4,Ai Innovations,False,True,42,High
AI09692,Ai Software Engineer,281132,USD,Part Time,United States,M,United States,100,"GCP, Mathematics, Deep Learning",Bachelor,17,Retail,2024-06-28,2024-08-25,9.2,Ai Innovations,False,False,58,High
AI06652,Computer Vision Engineer,277356,USD,Full Time,Switzerland,S,Switzerland,100,"SQL, Tableau, Python, Kubernetes, Git",PhD,19,Consulting,2024-12-02,2025-01-20,5.9,Ai Innovations,False,False,49,High
